"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"56","124_hypothetical_protein",1,1,"","124_hypothetical_protein.faa","124_hypothetical_protein.fna","1609634",1.75438596491228
"57","125_putative_major_capsi..",17,17,"PF02305_PF02305_","125_putative_major_capsi...faa","125_putative_major_capsi...fna","1609634_489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",29.8245614035088
"58","126_hypothetical_protein",1,1,"","126_hypothetical_protein.faa","126_hypothetical_protein.fna","1609634",1.75438596491228
"59","127_hypothetical_protein",1,1,"","127_hypothetical_protein.faa","127_hypothetical_protein.fna","1609634",1.75438596491228
"60","128_hypothetical_protein",1,1,"","128_hypothetical_protein.faa","128_hypothetical_protein.fna","1609634",1.75438596491228
"61","131_B",16,16,"PF02304_","131_B.faa","131_B.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"62","132_K",5,5,"PF12283_","132_K.faa","132_K.fna","489829_10843_511969_338108_10847",8.7719298245614
"63","133_C",16,16,"PF12025_","133_C.faa","133_C.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"64","135_E",16,16,"PF04517_","135_E.faa","135_E.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"65","136_J",16,16,"PF04726_","136_J.faa","136_J.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"66","138_G",16,16,"PF02306_","138_G.faa","138_G.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"67","139_H",16,16,"PF04687_","139_H.faa","139_H.fna","489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",28.0701754385965
"68","142_K",11,11,"","142_K.faa","142_K.fna","489828_338101_338102_338107_338106_338110_338103_10845_338105_10849_2507234",19.2982456140351
"69","151_vp5",1,1,"","151_vp5.faa","151_vp5.fna","2720215",1.75438596491228
"70","154_vp2",1,1,"","154_vp2.faa","154_vp2.fna","2720215",1.75438596491228
"71","155_vp8",1,1,"","155_vp8.faa","155_vp8.fna","2720215",1.75438596491228
"72","307_DNA_pilot_protein_VP..",1,1,"","307_DNA_pilot_protein_VP...faa","307_DNA_pilot_protein_VP...fna","1655649",1.75438596491228
"73","309_hypothetical_protein",2,2,"","309_hypothetical_protein.faa","309_hypothetical_protein.fna","1655649_1655659",3.50877192982456
"74","315_hypothetical_protein",1,1,"","315_hypothetical_protein.faa","315_hypothetical_protein.fna","1655650",1.75438596491228
"75","321_hypothetical_protein",1,1,"","321_hypothetical_protein.faa","321_hypothetical_protein.fna","1655656",1.75438596491228
"76","324_hypothetical_protein",1,1,"","324_hypothetical_protein.faa","324_hypothetical_protein.fna","1655656",1.75438596491228
"77","336_minor_capsid_protein",1,1,"","336_minor_capsid_protein.faa","336_minor_capsid_protein.fna","1385658",1.75438596491228
"78","342_hypothetical_protein",3,3,"","342_hypothetical_protein.faa","342_hypothetical_protein.fna","1655647_1655654_1655661",5.26315789473684
