source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_1_homologues_19062021_0435_intersection	6_AC1.faa	7_AC4.faa	12_AC4.faa	30_AV2.faa	56_AR1.faa	57_AL3.faa	58_AL2.faa	59_BR1.faa	60_BL1.faa	64_orf6.faa	66_orf7.faa	276_REn.faa	323_1R2b.faa	325_AL5.faa	378_AL4.faa	585_AC4_5_2.faa	752_AV2.faa
Squash-yellow-mild-mottle-virus_taxid_1051966.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tobacco-leaf-curl-Cuba-virus_taxid_336987.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tobacco-yellow-crinkle-virus_taxid_565052.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-chlorotic-leaf-distortion-virus-Venezuela-Zulia-2004_taxid_983437.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-chlorotic-mottle-Guyane-virus_taxid_1701549.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-chlorotic-mottle-virus_taxid_172391.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-golden-mosaic-virus_taxid_10831.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-golden-mottle-virus_taxid_223342.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-leaf-curl-Sinaloa-virus_taxid_71186.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-mild-yellow-leaf-curl-Aragua-virus_taxid_1124577.gbk	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Tomato-mottle-Taino-virus_taxid_223358.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-mottle-virus_taxid_10835.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-rugose-mosaic-virus_taxid_134599.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0
Tomato-rugose-yellow-leaf-curl-virus_taxid_1162280.gbk	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-severe-rugose-virus_taxid_158463.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-yellow-leaf-distortion-virus_taxid_649996.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-yellow-margin-leaf-curl-virus_taxid_260909.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-yellow-mottle-virus_taxid_86502.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Tomato-yellow-spot-virus_taxid_365523.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Triumfetta-yellow-mosaic-virus_taxid_1825950.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Velvet-bean-severe-mosaic-virus_taxid_667119.gbk	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0
West-African-Asystasia-virus-1_taxid_1046573.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1
Wissadula-golden-mosaic-virus_taxid_51673.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
