74,74,2,2
2,2,81,81
81,81,2,2
2,2,83,83
83,83,2,2
2,2,85,85
85,85,2,2
2,2,87,87
87,87,2,2
2,2,89,89
89,89,2,2
2,2,91,91
91,91,2,2
2,2,93,93
93,93,2,2
2,2,95,95
95,95,2,2
2,2,97,97
97,97,2,2
2,2,99,99
99,99,2,2
2,2,101,101
101,101,2,2
2,2,103,103
103,103,2,2
2,2,105,105
105,105,2,2
2,2,107,107
107,107,2,2
2,2,109,109
109,109,2,2
2,2,110,110
110,110,2,2
3,3,5,5
5,5,3,3
3,3,7,7
7,7,3,3
3,3,9,9
9,9,3,3
3,3,11,11
11,11,3,3
3,3,17,17
17,17,3,3
3,3,20,20
20,20,3,3
3,3,23,23
23,23,3,3
3,3,27,27
27,27,3,3
3,3,29,29
29,29,3,3
3,3,41,41
41,41,3,3
3,3,50,50
50,50,3,3
3,3,61,61
61,61,3,3
3,3,63,63
63,63,3,3
3,3,65,65
65,65,3,3
3,3,69,69
69,69,3,3
3,3,72,72
72,72,3,3
3,3,77,77
77,77,3,3
3,3,80,80
80,80,3,3
3,3,82,82
82,82,3,3
3,3,86,86
86,86,3,3
3,3,88,88
88,88,3,3
3,3,90,90
90,90,3,3
3,3,94,94
94,94,3,3
3,3,100,100
100,100,3,3
3,3,106,106
106,106,3,3
3,3,108,108
108,108,3,3
3,3,111,111
111,111,3,3
4,4,6,6
6,6,4,4
4,4,8,8
8,8,4,4
4,4,10,10
10,10,4,4
4,4,12,12
12,12,4,4
4,4,14,14
14,14,4,4
4,4,15,15
15,15,4,4
4,4,18,18
18,18,4,4
4,4,21,21
21,21,4,4
4,4,24,24
24,24,4,4
4,4,26,26
26,26,4,4
4,4,28,28
28,28,4,4
4,4,30,30
30,30,4,4
4,4,35,35
35,35,4,4
4,4,37,37
37,37,4,4
4,4,39,39
39,39,4,4
4,4,48,48
48,48,4,4
4,4,49,49
49,49,4,4
4,4,52,52
52,52,4,4
4,4,54,54
54,54,4,4
4,4,56,56
56,56,4,4
4,4,58,58
58,58,4,4
4,4,60,60
60,60,4,4
4,4,62,62
62,62,4,4
4,4,64,64
64,64,4,4
4,4,66,66
66,66,4,4
4,4,68,68
68,68,4,4
4,4,70,70
70,70,4,4
4,4,71,71
71,71,4,4
4,4,74,74
74,74,4,4
4,4,76,76
76,76,4,4
4,4,81,81
81,81,4,4
4,4,83,83
83,83,4,4
4,4,85,85
85,85,4,4
4,4,87,87
87,87,4,4
4,4,89,89
89,89,4,4
4,4,91,91
91,91,4,4
4,4,93,93
93,93,4,4
4,4,95,95
95,95,4,4
4,4,97,97
97,97,4,4
4,4,99,99
99,99,4,4
4,4,101,101
101,101,4,4
4,4,103,103
103,103,4,4
4,4,105,105
105,105,4,4
4,4,107,107
107,107,4,4
4,4,109,109
109,109,4,4
4,4,110,110
110,110,4,4
5,5,7,7
7,7,5,5
5,5,9,9
9,9,5,5
5,5,11,11
11,11,5,5
5,5,13,13
13,13,5,5
5,5,17,17
17,17,5,5
5,5,20,20
20,20,5,5
5,5,23,23
23,23,5,5
5,5,27,27
27,27,5,5
5,5,29,29
29,29,5,5
5,5,31,31
31,31,5,5
5,5,38,38
38,38,5,5
5,5,40,40
40,40,5,5
5,5,41,41
41,41,5,5
5,5,50,50
50,50,5,5
5,5,51,51
51,51,5,5
5,5,53,53
53,53,5,5
5,5,55,55
55,55,5,5
5,5,57,57
57,57,5,5
5,5,59,59
59,59,5,5
5,5,61,61
61,61,5,5
5,5,63,63
63,63,5,5
5,5,65,65
65,65,5,5
5,5,67,67
67,67,5,5
5,5,69,69
69,69,5,5
5,5,72,72
72,72,5,5
5,5,73,73
73,73,5,5
5,5,77,77
77,77,5,5
5,5,80,80
80,80,5,5
5,5,82,82
82,82,5,5
5,5,86,86
86,86,5,5
5,5,88,88
88,88,5,5
5,5,90,90
90,90,5,5
5,5,92,92
92,92,5,5
5,5,94,94
94,94,5,5
5,5,96,96
96,96,5,5
5,5,100,100
100,100,5,5
5,5,106,106
106,106,5,5
5,5,108,108
108,108,5,5
5,5,111,111
111,111,5,5
6,6,8,8
8,8,6,6
6,6,10,10
10,10,6,6
6,6,12,12
12,12,6,6
6,6,14,14
14,14,6,6
6,6,15,15
15,15,6,6
6,6,18,18
18,18,6,6
6,6,21,21
21,21,6,6
6,6,24,24
24,24,6,6
6,6,26,26
26,26,6,6
6,6,28,28
28,28,6,6
6,6,30,30
30,30,6,6
6,6,35,35
35,35,6,6
6,6,37,37
37,37,6,6
6,6,39,39
39,39,6,6
6,6,42,42
42,42,6,6
6,6,48,48
48,48,6,6
6,6,49,49
49,49,6,6
6,6,52,52
52,52,6,6
6,6,54,54
54,54,6,6
6,6,56,56
56,56,6,6
6,6,58,58
58,58,6,6
6,6,60,60
60,60,6,6
