765,765,1,1
2,2,14,14
14,14,2,2
2,2,21,21
21,21,2,2
2,2,23,23
23,23,2,2
2,2,29,29
29,29,2,2
2,2,37,37
37,37,2,2
2,2,49,49
49,49,2,2
2,2,51,51
51,51,2,2
2,2,60,60
60,60,2,2
2,2,62,62
62,62,2,2
2,2,70,70
70,70,2,2
2,2,82,82
82,82,2,2
2,2,84,84
84,84,2,2
2,2,91,91
91,91,2,2
2,2,103,103
103,103,2,2
2,2,105,105
105,105,2,2
2,2,117,117
117,117,2,2
2,2,119,119
119,119,2,2
2,2,125,125
125,125,2,2
2,2,132,132
132,132,2,2
2,2,143,143
143,143,2,2
2,2,149,149
149,149,2,2
2,2,156,156
156,156,2,2
2,2,163,163
163,163,2,2
2,2,165,165
165,165,2,2
2,2,175,175
175,175,2,2
2,2,183,183
183,183,2,2
2,2,185,185
185,185,2,2
2,2,192,192
192,192,2,2
2,2,199,199
199,199,2,2
2,2,211,211
211,211,2,2
2,2,219,219
219,219,2,2
2,2,221,221
221,221,2,2
2,2,233,233
233,233,2,2
2,2,241,241
241,241,2,2
2,2,243,243
243,243,2,2
2,2,250,250
250,250,2,2
2,2,262,262
262,262,2,2
2,2,264,264
264,264,2,2
2,2,272,272
272,272,2,2
2,2,284,284
284,284,2,2
2,2,291,291
291,291,2,2
2,2,297,297
297,297,2,2
2,2,304,304
304,304,2,2
2,2,306,306
306,306,2,2
2,2,312,312
312,312,2,2
2,2,321,321
321,321,2,2
2,2,331,331
331,331,2,2
2,2,342,342
342,342,2,2
2,2,344,344
344,344,2,2
2,2,351,351
351,351,2,2
2,2,363,363
363,363,2,2
2,2,365,365
365,365,2,2
2,2,376,376
376,376,2,2
2,2,383,383
383,383,2,2
2,2,385,385
385,385,2,2
2,2,397,397
397,397,2,2
2,2,399,399
399,399,2,2
2,2,405,405
405,405,2,2
2,2,417,417
417,417,2,2
2,2,423,423
423,423,2,2
2,2,425,425
425,425,2,2
2,2,436,436
436,436,2,2
2,2,445,445
445,445,2,2
2,2,453,453
453,453,2,2
2,2,460,460
460,460,2,2
2,2,467,467
467,467,2,2
2,2,474,474
474,474,2,2
2,2,479,479
479,479,2,2
2,2,486,486
486,486,2,2
2,2,493,493
493,493,2,2
2,2,495,495
495,495,2,2
2,2,507,507
507,507,2,2
2,2,509,509
509,509,2,2
2,2,522,522
522,522,2,2
2,2,529,529
529,529,2,2
2,2,541,541
541,541,2,2
2,2,548,548
548,548,2,2
2,2,550,550
550,550,2,2
2,2,561,561
561,561,2,2
2,2,563,563
563,563,2,2
2,2,575,575
575,575,2,2
2,2,577,577
577,577,2,2
2,2,584,584
584,584,2,2
2,2,597,597
597,597,2,2
2,2,599,599
599,599,2,2
2,2,605,605
605,605,2,2
2,2,611,611
611,611,2,2
2,2,617,617
617,617,2,2
2,2,629,629
629,629,2,2
2,2,635,635
635,635,2,2
2,2,642,642
642,642,2,2
2,2,649,649
649,649,2,2
2,2,651,651
651,651,2,2
2,2,658,658
658,658,2,2
2,2,670,670
670,670,2,2
2,2,672,672
672,672,2,2
2,2,677,677
677,677,2,2
2,2,683,683
683,683,2,2
2,2,694,694
