18,18,1,429,1,429,0.0,859
18,10,8,429,11,426,1.94e-152,441
18,39,8,429,11,426,4.85e-152,439
18,22,3,429,7,428,2.71e-135,397
18,206,9,429,16,437,4.83e-133,392
18,330,8,426,55,442,3.58e-57,196
18,393,16,425,63,441,1.17e-53,188
18,54,187,428,168,409,5.33e-13,72.8
19,19,1,348,1,348,0.0,729
20,20,1,322,1,322,0.0,671
21,21,1,365,1,365,0.0,763
21,205,1,365,1,365,0.0,664
21,17,1,363,1,353,2.77e-138,399
21,38,1,364,1,348,6.89e-128,372
21,9,1,364,1,348,2.19e-127,371
21,392,2,363,3,361,4.85e-104,312
21,329,28,363,2,334,8.25e-92,280
21,86,1,230,1,229,1.71e-73,231
22,22,1,428,1,428,0.0,850
22,206,2,428,7,437,0.0,652
22,18,7,428,3,429,2.71e-135,397
22,39,13,428,9,426,5.60e-129,381
22,10,13,428,9,426,6.37e-129,380
22,330,12,425,55,442,4.25e-56,193
22,393,20,424,63,441,1.01e-54,191
22,54,9,425,5,407,5.27e-21,97.1
23,23,1,344,1,344,0.0,717
23,24,247,344,1,98,1.47e-65,204
24,24,1,98,1,98,5.42e-69,203
24,23,1,98,247,344,4.20e-66,204
25,25,1,108,1,108,4.61e-75,219
26,26,1,29,1,29,2.23e-12,55.1
26,200,2,29,5,32,6.82e-09,46.6
27,27,1,33,1,33,1.29e-15,63.5
27,201,1,33,1,33,6.43e-12,54.3
28,28,1,84,1,84,1.63e-53,162
28,202,1,84,1,82,3.68e-29,101
28,14,13,83,8,73,3.61e-09,50.4
28,35,41,83,30,72,4.32e-05,40
28,6,41,83,30,72,2.95e-04,38.1
29,29,1,434,1,434,0.0,879
29,203,1,434,1,434,0.0,726
29,36,277,433,281,423,4.79e-08,57.4
29,36,137,198,23,85,1.32e-04,46.6
29,15,277,433,312,459,1.79e-07,55.8
29,7,277,433,281,423,2.12e-07,55.5
29,7,137,198,23,85,1.36e-04,46.6
30,30,1,410,1,410,0.0,850
30,1,1,410,1,410,0.0,846
30,197,1,406,1,407,9.45e-180,509
30,31,300,410,1,111,4.52e-77,236
30,2,300,410,1,111,4.52e-77,236
30,198,300,406,1,107,4.61e-41,144
31,31,1,111,1,111,2.57e-80,233
31,2,1,111,1,111,2.57e-80,233
31,30,1,111,300,410,1.22e-77,236
31,1,1,111,300,410,1.35e-77,236
31,198,1,107,1,107,1.48e-44,142
31,197,1,107,301,407,4.69e-41,142
32,32,1,87,1,87,3.20e-60,180
32,3,1,87,1,87,3.20e-60,180
32,199,1,87,1,88,7.53e-20,78.2
32,417,2,85,1,84,3.39e-06,43.5
32,428,2,85,1,84,4.99e-06,43.1
32,240,28,85,23,80,0.002,36.2
32,215,31,85,26,80,0.004,35.4
33,33,1,33,1,33,5.43e-17,67
33,4,1,33,1,33,5.43e-17,67
33,12,5,33,4,32,2.62e-06,40
34,34,1,32,1,32,3.62e-16,65.1
34,5,1,32,1,32,3.62e-16,65.1
35,35,1,73,1,73,1.07e-45,142
35,6,1,73,1,73,6.53e-45,140
35,14,1,73,1,74,9.40e-19,74.3
35,28,30,72,41,83,3.75e-05,40
35,202,12,72,18,81,0.001,36.2
36,36,1,424,1,424,0.0,862
36,7,1,424,1,424,0.0,858
36,15,276,420,307,456,6.25e-34,134
36,15,1,81,1,77,3.88e-10,64.3
36,203,281,423,277,433,2.43e-08,58.5
36,203,23,85,137,198,2.09e-04,46.2
36,29,281,423,277,433,8.96e-07,53.5
36,29,23,79,137,193,0.002,43.5
37,37,1,112,1,112,3.02e-72,212
37,8,1,112,1,112,3.02e-72,212
37,16,1,112,1,112,3.08e-39,129
