source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435_intersection	1_AV2.faa	2_AV1.faa	3_AC3.faa	4_AC2.faa	6_AC4.faa	55_V4.faa	56_V2.faa	57_V3.faa	61_C3.faa	81_AC5.faa	172_AC1.faa	214_C5.faa	234_AC5.faa	354_AV3_protein.faa	404_C2.faa	431_movement_protein.faa	432_capsid_protein.faa	564_V1.faa	565_V2.faa	566_rep.faa	753_CP.faa	795_c1.faa	863_truncated_V2.faa	880_AC4.faa	1114_V1.faa
Datura-leaf-curl-virus_taxid_1038082.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Duranta-leaf-curl-virus_taxid_742163.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eclipta-yellow-vein-virus_taxid_875324.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Emilia-sonchifolia-yellow-vein-Thailand-virus_taxid_2020881.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Emilia-yellow-vein-virus-Fz1_taxid_498805.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Erectites-yellow-mosaic-virus_taxid_390443.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-mosaic-virus_taxid_186637.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-virus--Yamaguchi_taxid_269095.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-virus-Japan-Kagawa-Tomato-1997_taxid_519350.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-virus-MNS2_taxid_223276.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-virus-SOJ3_taxid_335404.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eupatorium-yellow-vein-virus-Suya_taxid_436246.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Euphorbia-leaf-curl-Guangxi-virus_taxid_412688.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Euphorbia-leaf-curl-virus_taxid_270117.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Euphorbia-yellow-leaf-curl-virus_taxid_1578825.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
French-bean-leaf-curl-virus_taxid_2050584.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gossypium-darwinii-symptomless-virus_taxid_509531.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hedyotis-uncinella-yellow-mosaic-virus_taxid_1428190.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Hollyhock-leaf-crumple-virus_taxid_199587.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hollyhock-leaf-curl-virus_taxid_163655.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hollyhock-yellow-vein-mosaic-Islamabad-virus_taxid_1504732.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hollyhock-yellow-vein-mosaic-virus_taxid_944994.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Honeysuckle-yellow-vein-Kagoshima-virus_taxid_1233675.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Honeysuckle-yellow-vein-mosaic-virus_taxid_180587.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Honeysuckle-yellow-vein-virus_taxid_240865.gbk	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ipomoea-yellow-vein-virus_taxid_653358.gbk	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Jatropha-leaf-yellow-mosaic-Katarniaghat-virus_taxid_1530093.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jatropha-mosaic-India-virus-Lucknow_taxid_569949.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jatropha-mosaic-Nigeria-virus_taxid_1213406.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Jatropha-yellow-mosaic-virus_taxid_1485012.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Juncus-maritimus-associated-virus_taxid_2093273.gbk	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Kenaf-leaf-curl-virus-India-Bahraich-2007_taxid_508750.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Lindernia-anagallis-yellow-vein-virus_taxid_300411.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lisianthus-enation-leaf-curl-virus_taxid_1740165.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ludwigia-yellow-vein-Vietnam-virus_taxid_390444.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ludwigia-yellow-vein-virus_taxid_325111.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Macroptilium-yellow-spot-virus_taxid_1129034.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malachra-yellow-mosaic-virus_taxid_2202146.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-leaf-curl-Guangdong-virus_taxid_377610.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-leaf-curl-Philippines-virus_taxid_1333313.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-leaf-curl-virus_taxid_329290.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-mosaic-virus_taxid_377462.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-Baoshan-virus_taxid_642493.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-Cambodia-virus_taxid_1633139.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-Changa-Manga-virus_taxid_911574.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-Honghe-virus_taxid_676044.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-Yunnan-virus_taxid_290030.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Malvastrum-yellow-vein-virus_taxid_222475.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mesta-yellow-vein-mosaic-Bahraich-virus_taxid_508748.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Mesta-yellow-vein-mosaic-virus_taxid_360579.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mimosa-yellow-leaf-curl-virus_taxid_390440.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Mirabilis-leaf-curl-virus_taxid_1431395.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Oat-dwarf-virus_taxid_497863.gbk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
Okra-enation-leaf-curl-virus-India-Munthal-EL37-2006_taxid_908127.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-enation-leaf-curl-virus_taxid_908125.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-leaf-curl-Cameroon-virus_taxid_912034.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-leaf-curl-India-virus-India-Sonipat-EL14A-2006_taxid_908124.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-leaf-curl-Oman-virus_taxid_1241370.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-yellow-crinkle-virus_taxid_401040.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Okra-yellow-vein-mosaic-virus_taxid_227137.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Papaya-leaf-crumple-virus-Panipat-8-India-Panipat-Papaya-2008_taxid_913600.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Papaya-leaf-curl-China-virus_taxid_229634.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Papaya-leaf-curl-Guandong-virus_taxid_271479.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Papaya-leaf-curl-virus_taxid_53260.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Pea-leaf-distortion-virus_taxid_1931111.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-leaf-curl-Bangladesh-virus_taxid_223305.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-leaf-curl-Lahore-Virus-Pakistan-Lahore1-2004_taxid_884612.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-leaf-curl-Yunnan-virus-YN323_taxid_519015.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-leaf-curl-virus_taxid_83839.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-yellow-leaf-curl-virus_taxid_881944.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pepper-yellow-vein-Mali-virus_taxid_260378.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pouzolzia-golden-mosaic-virus_taxid_1225069.gbk	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Pouzolzia-mosaic-Guangdong-virus_taxid_1367126.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Premna-leaf-curl-virus_taxid_1198134.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pumpkin-yellow-mosaic-Malaysia-virus_taxid_420684.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Radish-leaf-curl-virus_taxid_435646.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Ramie-mosaic-Yunnan-virus_taxid_1874886.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rose-leaf-curl-virus_taxid_875323.gbk	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sauropus-leaf-curl-virus_taxid_1130981.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Senecio-yellow-mosaic-virus_taxid_310103.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Senna-leaf-curl-virus_taxid_1884991.gbk	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-Brazil-virus_taxid_666145.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sida-common-mosaic-virus_taxid_536082.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
